name,category,city,address,email,phone,url,source_url,notes,eligibility,status,priority
Felsennelkenanger,public_student_union,München,"Felsennelkenanger 7-21, 80937 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Heidemannstraße,public_student_union,München,"Paul-Hindemith-Allee 4/6; Karl-Köglsperger-Straße 3-9, 80939 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Josef-Wirth-Weg,public_student_union,München,"Josef-Wirth-Weg 19, 80939 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Studentenstadt Freimann,public_student_union,München,"Christoph-Probst-Straße 10, 80805 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/muenchen/muenchen-nord/wohnanlage-studentenstadt-freimann/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Large Studierendenwerk residence; source notes active construction in parts.",Students of eligible local universities,active,2
Max-Bill-Straße,public_student_union,München,"Max-Bill-Straße 67, 80807 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Agnes-/Adelheidstraße,public_student_union,München,"Adelheidstraße 13/15; Agnesstraße 27/31-35, 80798 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Biedersteiner Straße,public_student_union,München,"Biedersteiner Straße 22-32, 80802 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Kaulbachstraße,public_student_union,München,"Kaulbachstraße 49, 80539 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Kreittmayrstraße,public_student_union,München,"Kreittmayrstraße 14, 80335 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Lothstraße,public_student_union,München,"Lothstraße 62, 80335 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
Studierendenviertel Olympisches Dorf,public_student_union,München,"Helene-Mayer-Ring 9, 80809 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/muenchen/muenchen-mitte/studentenviertel-olympisches-dorf/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Large Studierendenwerk residence near Olympiazentrum.",Students of eligible local universities,active,2
Schwere-Reiter-Straße,public_student_union,München,"Lissi-Kaeser-Straße 8, 80797 München",,,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,https://www.studierendenwerk-muenchen-oberbayern.de/wohnheime/wohnanlagen/,"Central application through Studierendenwerk München Oberbayern.",Students of eligible local universities,active,2
